T,g
0.0202264245125,10.8202443281
0.0268007640838,10.8202443281
0.028998199412,11.1692844677
0.0320902523931,11.1692844677
0.0425207768801,11.5183246073
0.056341609419,11.8673647469
0.0721755229956,12.2164048866
0.0873987092678,12.5654450262
0.0935060589132,12.9144851658
0.104648010425,13.4380453752
0.114510142319,14.3106457243
0.125301691267,15.1832460733
0.155185184514,18.4991273997
0.164170782613,20.0698080279
0.173676668608,21.815008726
0.177631394274,24.6073298429
0.181676171501,27.5741710297
0.183732968429,28.7958115183
0.187916682291,30.3664921466
0.192195661918,33.3333333333
0.196572076569,36.4746945899
0.198797513399,38.219895288
0.201048144902,39.965095986
0.205626136092,41.8848167539
0.217532387474,43.630017452
0.222485735111,45.3752181501
0.246209197065,48.5165794066
0.272462271296,50.9598603839
0.318973119005,54.2757417103
0.361022634043,56.5445026178
0.452185754972,60.5584642234
0.500401931838,62.8272251309
0.648289206323,67.8883071553
0.758955833313,70.6806282723
0.888513878223,72.7748691099
1.08809901551,74.6945898778
1.24548323243,75.7417102967
1.47460166472,77.6614310646
1.65031156457,79.057591623
2.06703766023,81.5008726003
2.50301509451,83.2460732984
2.76990943421,84.2931937173
3.711784464,85.1657940663
4.80875402573,85.6893542757
6.30044897089,85.8638743455
8.16246461682,86.2129144852
9.88408316762,86.2129144852
12.8051952326,86.5619546248
14.0119694829,86.7364746946
16.2202585617,87.260034904
17.7488717541,87.7835951134
21.7357661545,89.0052356021
26.320251354,90.4013961606
34.098858887,93.1937172775
40.3716668121,94.9389179756
44.1763325796,96.1605584642
49.4402754863,97.2076788831
